"index","peru"
2002-07-06,5.88247234051584
2002-07-07,6.79474352891502
2002-07-08,8.09870390504226
2002-07-09,8.10657773310949
2002-07-10,7.21520303454846
2002-07-11,6.12957185577016
2002-07-12,7.60462809928003
2002-07-13,8.4138585281955
2002-07-14,8.56613264840278
2002-07-15,7.55750076648577
2002-07-16,6.99582050114596
2002-07-17,5.91041983908329
2002-07-18,6.69423698850838
2002-07-19,7.61690387273284
2002-07-20,7.31915623528429
2002-07-21,7.56993207214392
2002-07-22,7.77659691030943
2002-07-23,6.01909384912016
2002-07-24,3.44470917059602
2002-07-25,7.80873401771191
2002-07-26,7.96833313299026
2002-07-27,6.675500749606
2002-07-28,8.44742142966101
2002-07-29,8.75269977466355
2002-07-30,7.91710042798903
2002-07-31,8.10479333823634
2002-08-01,8.87917479514433
